#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-565.791028,31,5.02938
-707.442335,52,8.875501
-690.848855,52,13.356117
-52.811468,4,13.579061
-130.30063,6,13.944469
-773.990715,52,16.941604
-15.011665,4,17.264576
-635.395205,52,21.060962
-571.229345,48,24.426222
-54.487769,10,25.028018
-256.728196,19,26.086883
-883.437473,52,29.714617
-119.82457,7,30.109078
-544.325362,52,34.043621
-33.41533,3,34.286737
-139.897345,7,34.651503
-606.880553,30,36.686773
-244.641824,52,40.082022
-524.745768,28,41.812125
-101.2822,15,42.689417
-819.373817,39,45.277652
-668.952975,52,48.470335
-931.833082,52,51.732873
-417.296455,20,53.256099
-658.15548,37,56.236848
-479.408981,47,59.257224
-665.632442,52,63.773991
-50.819506,3,63.920366
-560.550223,52,68.416427
-62.041004,6,68.8331
-421.14488,26,70.840096
-13.678057,1,70.916823
-268.896204,52,75.301801
-66.634592,9,75.827936
-495.622052,47,79.3622
-155.260302,9,79.969177
-412.402935,41,83.069092
-613.61573,43,85.957568
-60.540358,8,86.468713
-441.375457,43,89.269426
-276.601119,36,91.658803
-316.658537,21,92.940656
-644.3495,52,95.961376
-257.539234,39,98.36025
-59.462877,5,98.673427
-290.151489,18,99.766923
-19.14556,2,99.926659
-498.649476,52,103.552103
-338.0032,25,105.39853
-434.437749,44,108.079963
-454.597616,36,110.933832
-109.396057,6,111.31771
-310.176202,22,112.619838
-155.147938,8,113.090185
-408.95704,32,115.21752
-27.355771,2,115.335395
-19.435175,5,115.631521
-49.815379,4,115.841537
-27.453706,2,115.960056
-48.39391,6,116.317945
-35.998089,3,116.44467
-36.997766,3,116.666685
-186.756287,12,117.400283
-16.342463,1,117.456106
-376.432762,46,120.310392
-353.172001,23,122.114601
-35.755234,2,122.237921
-99.906306,12,123.116605
-123.103269,8,123.685423
-22.791835,8,124.249044
-68.841676,11,124.972446
-468.308926,30,126.738838
-219.733857,16,127.694067
-42.401946,8,128.215284
-127.323654,9,128.748696
-358.24361,23,130.246659
-45.763673,5,130.553181
-126.688824,6,130.996251
-3.786521,1,131.057947
-17.585738,1,131.144533
-111.396464,12,131.872313
-52.947639,3,132.068918
-8.745742,1,132.103976
-16.96519,3,132.254709
-158.182647,8,132.713213
-245.615925,20,134.152987
-192.830497,11,134.933381
-125.090842,9,135.551844
-348.816619,25,137.278143
-301.998066,15,138.338125
-107.515238,5,138.613447
-316.552053,27,140.441637
-321.921698,28,142.514143
-505.312107,27,144.440178
-127.276463,6,144.847798
-91.226268,13,145.731118
-237.407077,32,147.690177
-95.320011,14,148.599137
-182.106581,16,149.655427
-116.468957,8,150.217313
-19.873678,1,150.270686
-313.115649,16,151.422419
-20.262561,4,151.652145
-168.160491,11,152.363599
-221.625709,20,153.853197
-413.98643,20,155.384268
-329.711686,23,156.803387
-41.631599,8,157.298225
-42.895518,6,157.662054
-57.886126,10,158.31599
-63.097817,5,158.64169
-237.09581,18,160.066504
-301.210778,21,161.584718
-198.440102,12,162.26736
-252.90488,21,163.630216
-184.747371,15,164.702971
-160.69742,12,165.581199
-54.142442,3,165.754403
-187.91592,9,166.326136
-59.31705,10,167.033191
-10.01951,3,167.20535
-226.227364,18,168.566788
-27.951147,3,168.742598
-335.528149,19,170.076541
-129.329926,15,171.068987
-213.28683,10,171.77382
-6.856369,1,171.809373
-59.505223,3,172.032067
-19.835924,1,172.100351
-219.923454,14,173.263465
-36.525811,4,173.489003
-81.216242,4,173.743197
-15.824965,1,173.823026
-77.641969,7,174.261842
-48.428668,5,174.699558
-142.069202,9,175.254166
-130.038127,10,175.856931
-132.286276,10,176.470115
-90.540313,6,176.811952
-49.909737,4,177.035444
-3.953893,3,177.204261
-59.620503,5,177.512882
-159.767242,10,178.176085
-103.279811,10,178.833225
-21.81351,1,178.91097
-45.486794,2,179.089074
-17.785435,2,179.205841
-309.248129,26,180.996003
-58.721758,10,181.652663
-352.902645,25,183.384944
-150.570095,14,184.375035
-109.719312,7,184.885993
-37.89392,3,185.164203
-165.887372,9,185.776386
-114.937712,10,186.388162
-60.261347,3,186.570084
-85.418075,4,186.801317
-45.257213,3,186.987548
-41.380792,3,187.191397
-260.690374,19,188.609425
-149.780827,7,189.071459
-22.751949,3,189.298823
-37.872509,2,189.439249
-308.576751,22,191.128732
-72.657256,4,191.368664
-151.792392,7,191.852825
-110.929845,5,192.155403
-76.645607,4,192.401992
-77.140554,5,192.728175
-45.611714,7,193.219884
-60.308012,3,193.39161
-6.499218,1,193.451113
-55.117115,5,193.801175
-31.587798,2,193.921088
-44.439199,3,194.104402
-232.5433,12,194.940347
-164.320298,8,195.498888
-352.367766,27,197.549921
-38.385818,2,197.664519
-161.949268,20,198.954544
-195.101844,9,199.529549
-207.682747,11,200.261996
-168.918637,8,200.818831
-278.462656,21,202.338204
-54.036448,3,202.551094
-86.447733,4,202.867989
-121.116973,7,203.350597
-225.031705,11,204.12877
-51.813996,9,204.710016
-23.178226,1,204.818406
-126.805524,6,205.156514
-204.537362,14,206.164006
-102.582813,5,206.472599
-102.029926,5,206.752952
-115.881334,7,207.154491
-46.681277,5,207.440904
-57.149898,4,207.718696
-188.304399,9,208.33833
-114.367489,11,209.154246
-19.251159,1,209.212704
-27.754753,11,209.850859
-95.497274,13,210.687358
-149.5097,11,211.479107
-116.644878,7,211.955315
